NS 100
UHF -7,+2,+0,+8
LHF -6,-9,+4,+2
PHF -8,+7,+5,-6

ROOT 0351
UHF +0,+1,-4,-3
LHF -5,+4,+5,+3
PHF -3,-8,+6,-3

ROOT 1899
UHF -2,-7,-7,-5
LHF -7,-2,-5,+6
PHF -8,+5,-2,-5

ROOT 0089
UHF -2,-7,-7,-5
LHF -7,-2,-5,+6
PHF -8,+5,-2,-5

ROOT 1796
UHF +7,-8,+3,+4
LHF +0,+1,+2,+0
PHF +3,+7,+6,+7

ROOT 5988
UHF +4,-8,-5,-8
LHF -9,-5,+3,-9
PHF +2,-5,+4,+8

ROOT 4605
UHF +5,+4,-5,+7
LHF -2,-1,-9,-1
PHF -8,-4,-6,+3

ROOT 7762
UHF -5,-1,-5,-2
LHF -3,+5,-5,-9
PHF +6,-6,+0,-4

ROOT 7528
UHF +8,+8,-5,+6
LHF -1,-1,+7,+4
PHF -6,-6,+4,-7

ROOT 3980
UHF -2,-5,+5,-8
LHF -8,-9,+0,-1
PHF -4,+3,-6,+7

ROOT 0940
UHF +0,+4,-3,-6
LHF +3,-6,+7,+8
PHF +8,-5,+8,-4

ROOT 7582
UHF -1,-2,-4,+6
LHF -7,+7,-4,+6
PHF -7,-4,-7,+8

ROOT 3078
UHF +8,-8,+6,-2
LHF -1,-5,-5,-3
PHF -1,-9,-2,+4

ROOT 3876
UHF +2,-4,+0,-4
LHF -7,-3,+3,-8
PHF +2,+8,-6,-2

ROOT 4933
UHF -2,+4,+8,+7
LHF -5,-4,+5,-8
PHF -2,+1,-2,-8

ROOT 5035
UHF -2,+4,+8,+7
LHF -5,-4,+5,-8
PHF -2,+1,-2,-8

ROOT 4053
UHF -2,+4,+8,+7
LHF -5,-4,+5,-8
PHF -2,+1,-2,-8

ROOT 3655
UHF -2,+4,+8,+7
LHF -5,-4,+5,-8
PHF -2,+1,-2,-8

ROOT 4753
UHF -2,+4,+8,+7
LHF -5,-4,+5,-8
PHF -2,+1,-2,-8

ROOT 5677
UHF -2,+4,+8,+7
LHF -5,-4,+5,-8
PHF -2,+1,-2,-8

ROOT 0268
UHF +1,+1,+6,-2
LHF -8,-2,-3,+5
PHF +0,+7,-4,+1

ROOT 5093
UHF +6,-6,+0,-1
LHF -7,-2,+1,+6
PHF -7,-2,-2,-5

ROOT 0453
UHF -8,+3,-5,-9
LHF -2,-3,+7,-3
PHF +4,-6,-8,+1

ROOT 0823
UHF -8,+3,-5,-9
LHF -2,-3,+7,-3
PHF +4,-6,-8,+1

ROOT 1725
UHF -8,+3,-5,-9
LHF -2,-3,+7,-3
PHF +4,-6,-8,+1

ROOT 2731
UHF -8,+3,-5,-9
LHF -2,-3,+7,-3
PHF +4,-6,-8,+1

ROOT 7781
UHF -8,+3,-5,-9
LHF -2,-3,+7,-3
PHF +4,-6,-8,+1

ROOT 8591
UHF -8,+3,-5,-9
LHF -2,-3,+7,-3
PHF +4,-6,-8,+1

ROOT 9501
UHF -8,+3,-5,-9
LHF -2,-3,+7,-3
PHF +4,-6,-8,+1

ROOT 8256
UHF +2,+1,-8,+8
LHF -4,-8,+8,-8
PHF -1,+8,-4,-2

ROOT 3772
UHF -6,-3,-6,+0
LHF -4,+4,+2,-6
PHF +7,-9,-2,-5

ROOT 6891
UHF +5,-4,-9,+1
LHF -2,-3,+8,-3
PHF +3,+3,+2,+3

ROOT 1298
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 2000
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 0542
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 4064
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 8468
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 9966
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 4244
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 8760
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 7064
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 7224
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 7790
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 0588
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 1668
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 9064
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 0198
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 9832
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 9246
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 3108
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 1244
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 6558
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 8212
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 0000
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 6954
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 9832
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 5540
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 8962
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 0532
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 0434
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 6530
UHF +3,-9,+7,+2
LHF -6,-9,+7,-4
PHF -8,-8,+0,-4

ROOT 4256
UHF +2,-1,+0,-6
LHF +6,-4,-6,-4
PHF +6,-3,-1,-6

ROOT 4965
UHF +4,+0,-3,+7
LHF +4,+7,-5,-9
PHF -3,-7,-1,-3

ROOT 8641
UHF +4,+0,-3,+7
LHF +4,+7,-5,-9
PHF -3,-7,-1,-3

ROOT 4965
UHF +4,+0,-3,+7
LHF +4,+7,-5,-9
PHF -3,-7,-1,-3

